role,color,company,year

Clerical Worker| |Eastworld Sales Philippines|(2019)
Dialogflow Developer|blue|TE3D House – AdRIC Research Center|(2023)
Support Developer|orange|Developer Soft and Technical Support SEA Inc.|(2024-2026)
